web-scraper-order,web-scraper-start-url,inactive sites,date,location
1605218843-1,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Aleutian Islands,(1976–2017),Alaska
1605218843-2,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Beaver Creek,(1976–2017),Arizona
1605218843-6,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Coram,(1976–2017),Montana
1605218843-5,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Central Plains,(1976–2017),Colorado
1605218843-7,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Desert,(1976–2017),Utah
1605218843-8,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Fraser,(1976–2017),Colorado
1605218843-9,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,H.J. Andrews,(1976–2017),Oregon
1605218843-10,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Hubbard Brook,(1976–2017),New Hampshire
1605218843-13,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Niwot Ridge,(1979–2017),Colorado
1605218843-14,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Noatak,(1976–2017),Alaska
1605218843-15,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Stanislaus-Tuolumne,(1976–2017),Nevada and California
1605218843-16,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Three Sisters,(1976–2017),Oregon
1605218843-17,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Virgin Islands,(1976–2017),
1605218843-18,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,San Dimas,(1976–2018),California
1605218843-11,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Konza Prairie,1978,Kansas
1605218843-3,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,California Coast Ranges,(1983–2017),California
1605218843-4,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Carolinian-South Atlantic,(1986–2017),
1605218843-12,https://en.wikipedia.org/wiki/World_Network_of_Biosphere_Reserves_in_Europe_and_North_America,Land Between the Lakes,(1991–2017)),Kentucky and Tennessee
